smiles,molecular_weight,#ro5_violations,alogp,standard_value,mol,MACCS_fp,morgan_fp
CN1C(O)=C(C(=O)Nc2ccc(Br)cc2Br)c2cc(Cl)ccc2S1(=O)=O,522.6,1.0,4.36,7.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEAC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBAC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583E40>
COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)Cc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,490.99,0.0,4.56,220.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEB30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBB30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583EB0>
COc1ccc2c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,398.42,0.0,2.86,26.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEBA0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBBA0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583F20>
Cc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nn2n1,363.44,0.0,3.78,31.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEC10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBC10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583F90>
CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nn3nc(S(C)(=O)=O)ccc23)cc1,445.5,0.0,3.01,370.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEC80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBC80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584040>
Nc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1,280.25,0.0,3.54,100000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BECF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBCF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95840B0>
Nc1cccc(C(=O)Nc2ccc(C(F)(F)F)cc2)c1,280.25,0.0,3.54,100000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BED60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBD60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584120>
Nc1ccnc(NC(=O)c2cccc(C(F)(F)F)c2)c1,281.24,0.0,2.93,100000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEDD0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBDD0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584190>
COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,347.46,0.0,4.04,470.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEE40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBE40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584200>
COC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1,379.43,0.0,3.65,800.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEEB0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBEB0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584270>
CS(=O)(=O)c1ccc2c(Sc3ccc(F)cc3)c(C(=O)O)[nH]c2c1,365.41,0.0,3.56,40000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEF20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBF20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95842E0>
Cc1cc(=O)c(Oc2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,390.84,0.0,4.46,320.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEF90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBF90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584350>
CC(C(=O)O)c1cccn(C(F)F)c1=O,217.17,0.0,1.43,5900.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C0040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95843C0>
Cc1ccc(C)c(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)c1,377.42,0.0,3.74,100000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C00B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BC0B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9584430>
