,Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Value
151,Cc1nn(-c2ccccc2)c(N(C)C)c1/C=N/Nc1nc2ccccc2nc1O,387.45,0.0,3.34,400.0
152,CCOc1cccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)c1,476.96,1.0,5.88,650.0
153,C/C(=C\CC/C(C)=C/CCCC1(O)Oc2ccc(O)cc2C1=O)CO,346.42,0.0,3.49,1380.0
154,C/C(=C\CC/C(C)=C/C/C=C(/CC(=O)c1cc(O)ccc1O)C(=O)O)CO,374.43,0.0,3.74,4840.0
155,CS(=O)(=O)c1ccc(C2=NN(c3ccc(C(=O)O)cc3)C(c3cccs3)C2)cc1,426.52,0.0,4.21,1160.0
156,CC(C)(C)c1cc(C(=O)CSCC2CC2)cc2c1OCC2(C)C,332.51,0.0,4.98,400.0
157,COc1ccc2c(c1)c(CC(=O)N(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,384.86,0.0,3.93,18000.0
158,COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,460.96,1.0,5.2,60.0
159,CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,394.39,0.0,3.49,10.0
160,Nc1cccnc1NC(=O)c1cccc(C(F)(F)F)c1,281.24,0.0,2.93,100000.0
161,CS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,396.82,1.0,5.49,10.0
162,Cc1ccc(N2CC(c3ccc(S(C)(=O)=O)cc3)=C(c3ccc(F)cc3)C2=O)cc1,421.49,0.0,4.5,1050.0
163,CS(=O)(=O)c1ccc(-c2[nH]c(Cl)c(Br)c2-c2ccc(F)cc2)cc1,428.71,1.0,5.31,88000.0
164,CC(C)(C)OC(=O)n1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,494.38,1.0,5.91,300000.0
165,COc1ccc(Oc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,331.39,0.0,3.68,200.0
166,COc1ccc(NC(=O)c2ccccc2Nc2ccccc2)cc1,318.38,0.0,4.69,150000.0
167,Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)c1Cl,347.83,0.0,3.15,28.0
168,CNc1nnc(Cn2nc(Cc3ccccc3)c3onc(C)c3c2=O)s1,368.42,0.0,2.23,21300.0
169,CNc1nnc(Cn2nc(Cc3ccc(OC)cc3)c3onc(C)c3c2=O)s1,398.45,0.0,2.23,14700.0
170,CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(Br)cc2)cc1,460.27,0.0,4.69,230.0
171,COc1ccc2c(c1)c(CC(=O)O)c(C(F)(F)F)n2C(=O)c1ccc(Cl)cc1,411.76,0.0,4.64,150.0
172,CCCCC#CCOc1ccccc1OC(C)=O,246.31,0.0,3.18,40000.0
173,CS(=O)(=O)Nc1cc2c(cc1Sc1ccccc1F)C(=O)CC2,351.42,0.0,3.48,100.0
174,COc1ccc(/C(C)=C/c2cc(O)cc(O)c2)cc1,256.3,0.0,3.67,16000.0
175,CC(C)S(=O)(=O)c1c(O)n(Cc2ccccc2)c(=O)c2ccc(Cl)cc12,391.88,0.0,3.59,60.0
176,Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cs1,387.41,0.0,3.73,933.25
177,CS(=O)(=O)c1ccc(-n2cc(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,408.91,1.0,5.26,239.88
178,CC(=O)Nc1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,261.36,0.0,3.61,3500.0
179,COc1ccc(-c2ssc(=S)c2-c2ccc(OC)cc2)cc1,346.5,1.0,5.89,20000.0
180,CS(=O)(=O)Nc1cc2c(cc1Oc1ccc(F)cc1F)C(=O)CC2,353.35,0.0,3.26,21.0
